utt,y
i really do not have a preference . how about [value_food] ? i will need their phone number and postcode please .,1
"no thank you , that is all i needed .",2
can you give me the price for a large pizza and what type of pizzas they offer at [restaurant_name] fen ditton please,1
what is the price range of [restaurant_name] ?,1
what is the food type at [restaurant_name] ?,1
"okay , thank you .",2
"no , thank you !",2
i am looking for a restaurant in the [value_area] that serves [value_food] food .,3
can i get the address for [restaurant_name] please ?,1
"yes , i would like to reserve a table for [value_count] at [value_time] on [value_day] please .",5
"thank you , that s all i need today !",2
can you help me find an afghan restaurant on the [value_area] side of town ?,3
try a different cuisine . just an [value_pricerange] restaurant .,3
[value_food] food please . what are the options ?,1
"no , i'll have to discuss it with my wife . can you just get me the postcode for [restaurant_name] please ?",1
no that s all i needed . thank you !,2
could really use some grub .,3
somewhere in the [value_area] . i am looking for some traditional food .,3
"yes , please book me a table for [value_count] people at [value_time] on [value_day] .",5
wonderful . thanks for your help today . bye .,2
i would like to find somewhere with [value_pricerange] kosher food .,3
sure . i also need the restaurant to be in the center .,1
"sure , let s try [value_food] instead .",3
"[restaurant_name] sounds great . can i get their phone number , please ?",1
"no , you've been very helpful . thank you ! goodbye .",2
know any where that has [value_food] food ?,3
"yes actually , can we find something in the [value_pricerange] price range ?",3
"that would be greatly appreciated . i will have [value_count] other person with me , this will be on [value_day] at [value_time] . also could i get the reference number ?",0
"no , you have been very helpful . thank you .",2
"that should be all i need , thank you .",2
thanks i appreciate it . bye !,2
i would like an [value_pricerange] restuarant in the [value_area] part of town .,3
that would be great ! could i also receive the address and post code with that ?,1
"no thanks , i'll take care of that . i am all set today thanks for your help !",2
"hi , have you heard of the [restaurant_name] ? i would like some information about it .",1
"no , that should do it . later .",3
i would like a resturant in the [value_area] of town that serves canapes food .,3
maybe take another look ? i need an [value_pricerange] canapes restaurant in the [value_area] .,0
can you just give me the postcode of [restaurant_name] ?,1
you've been more than helpful . thanks but thats all i need . have a good night .,2
i am looking for some info on [restaurant_name] restaurant .,3
"yes , i would like a table for a party of [value_count] at [value_time] on [value_day] .",5
ok thank you very much for your help .,2
i am looking for a restaurant in the [value_area] that serves world food .,3
how about a restaurant in the [value_area] that serves [value_food] food ?,3
yes please . i would like a table for [value_count] on [value_day] . try for [value_time] please .,5
how about [value_time] ?,5
thank you so much for your help . bye .,2
"yes , go ahead and book it and please send me the address .",5
i do not need to book it . what is the postcode and the area please ?,5
thanks very much !,2
i am looking for a restaurant in the [value_area] that serves vegetarian food .,3
yes go ahead . how about [value_food] ? they always have vegetarian options . i would like it to be [value_pricerange] -ly priced too .,3
i want a [value_pricerange] price range please .,3
"no thanks , i would like to give them a call instead . what is their phone number ?",2
"oh yes , actually i need the postcode too .",1
"no , that is everything . thank you for your help .",2
i am looking for a restaurant in the [value_area] of town serving [value_food] food .,3
ii'd like a [value_pricerange] -ly priced place .,3
that sounds good enough . what s the address there ?,1
i am looking for an [value_pricerange] place to dine in the [value_area] .,3
i think [value_food] may have caught my attention .,3
great can i get their phone number as well please ?,1
"hello , i am seeking a [value_pricerange] restaurant .",3
i would like [value_food] food .,3
great can i get the postcode and address ?,1
"thank you , that s all i need today .",2
i am looking for a nice restaurant in the center of town .,3
he restaurant should be in the [value_pricerange] price range .,3
yes please as well as their postcode .,1
thank you for your help . i appreciate it !,2
no thank you that will be all for today !,2
hi i am looking for a restaurant in the [value_area] of town serving [value_area] [value_food] food .,3
that s too bad . how about [value_food] ?,4
okay when you find something i would like to make a reservation for [value_count] people on a [value_day] at [value_time] .,5
how about [value_time] ?,5
thanks so much . have a nice day . bye .,2
i want crossover food at an [value_pricerange] price . can you help ?,3
is there something else in the [value_area] ?,0
"actually , i would prefer a [value_food] restaurant .",3
"please book for [value_count] person , [value_day] at [value_time] .",5
how about [value_day] at [value_time] please for [value_count] person ?,5
that s all . thanks for the help !,2
i would like to find a restaurant in the [value_area] .,3
i need it to be in the [value_pricerange] price range . what are my options ?,1
lets go with the [value_food] [value_count] . can i get the address and postcode please ?,1
thanks for the information . goodbye .,2
hello . can you suggest a [value_food] restaurant in the [value_area] end ?,3
i am interested in the [value_count] in the [value_area] . could i have their postcode and address ?,1
"yes , that will be all . thanks .",2
i would like to find some [value_pricerange] [value_food] cuisine .,3
sure that would be great .,3
that s great . thank you very much .,2
i am looking for a restaurant in the [value_area] of town in the [value_pricerange] price range .,3
no preference . can you recommend me [value_count] and give me their postcode and phone number ? thanks !,1
no thank you not at this time .,2
nope you gave me everything i wanted to know . thanks bye !,2
i am looking for [value_pricerange] food in the [value_area] .,3
i think i would like [value_food] food please .,3
what about an [value_food] restaurant ?,3
great yes please book me a table there for [value_count] people at [value_time] on [value_day] .,5
that will be all . thank you very much .,2
that s it . can you make a reservation for me ? there are [value_count] of us and we would like to reserve [value_day] at [value_time] if possible .,5
thank you for the helpful information !,2
"that is all , thanks . have a nice day . bye !",2
can you help me find a [value_pricerange] place to eat ?,3
"yes , that would be fine .",3
yes can you try [value_day] at [value_time] please,5
do you have anything available for [value_day] ?,3
great . that'll be everything . thank you !,2
i would like to get [value_pricerange] -ly priced polynesian food .,3
well is there perhaps a [value_pricerange] option serving that type of food in the center ?,3
how about [value_food] food ?,4
no thank you . can you recommend me [value_count] and give me their phone number and address ?,1
"as long as they serve [value_food] cuisine and [value_pricerange] -ly priced , that sounds great . thanks for your help .",3
"no , that s everything . thank you !",2
i am looking for a restaurant that serves [value_food] food in the [value_area] of town .,3
i am interested in a [value_pricerange] place . what can you tell me about those ?,1
"yes , get me a table for [value_count] at [restaurant_name] on [value_day] at [value_time]",5
hmm . can you try at [value_time] instead ?,5
"no , that will be all . thanks !",2
that sounds perfect . thanks for your help !,2
"i am looking to go to dinner tonight and am in the mood for some good bistro in the [value_area] of town , can you find me some options ?",3
hmm . . let me think . let s try maybe something [value_food] instead .,3
which of those [value_count] has the best rating -s ? can i please have the address and postcode .,1
"yes , i would like to book a table for just me at [value_time] on [value_day] .",5
i am looking for a specific restaurant . it s called [restaurant_name] . can you help with this ?,3
yes for [value_count] people at [value_time] on a [value_day] . i will need a reference number as well .,5
"i think that takes care of everything , thanks !",2
thank you . have a great day !,2
i would like to go to an [value_food] restaurant in the [value_area] .,3
"how about the [value_pricerange] [value_count] ? may i have their address , please ?",1
"no , that is all , thank you . have a nice day .",2
i am looking for a place to eat . i want [value_pricerange] malaysian food . can you help ?,3
well i need it to be in the [value_area] of town .,3
[value_food] sounds good . can you give me any suggestions ?,3
sounds great . make a reservation for [value_count] on [value_day] at [value_time] .,5
"how about ! [value_time] instead , is that available [value_day] ?",5
"thanks , that s all i need .",2
i need a [value_pricerange] restaurant please .,3
"yes , [value_food] food would be nice .",3
yes i would like to book [restaurant_name] in the [value_area] for [value_count] person at [value_time] on [value_day] .,5
can you see if they have an opening at [value_time] instead ?,5
how about the [value_area] ? i will need a table for [value_count] on [value_day] at [value_time] .,5
is there anything available for [value_time] on [value_day] ?,5
i will need a taxi to take me there .,3
"nevermind , i am sorry . i think i am all set .",3
i would like a restaurant in the [value_area] that is in the [value_pricerange] price range .,3
yes please do .,3
great can i get a reservation there for [value_count] people at [value_time] on [value_day] ?,5
great ! can i have the goden curry ?,7
i guess i could try [value_time] .,5
thank you so much .,2
i would like a restaurant in the [value_area] and in the [value_pricerange] price range .,3
let s try the brasserie .,3
just [value_count] person at [value_time] on [value_day],5
thanks . that s all i need !,2
"hi , i am looking for a local upscale [value_food] restaurant .",3
"actually , i am looking for somewhere that s located near the [value_area] . could you recommend somewhere near there ?",3
"yes , please .",3
it s for [value_count] people and we want to eat at [value_time] on [value_day] .,5
great . thank you so much for your help .,2
"yeah , that sounds great . would you reserve me a table for [value_count] , [value_day] at [value_time] please ?",5
i am looking for an [value_pricerange] place to eat located in [value_area] of town . can you help ?,3
"you know , i would really love some latin american food . how about that ?",4
"sure , i like [value_food] food .",3
yes please . book [value_count] for [value_day] at [value_time] . there will be [value_count] people .,5
no that s all i needed . thank you !,2
hi there . i am hoping you can help me . i am looking to try molecular gastronomy food . might there be a restaurant like this in the [value_area] of town ?,3
yes how about gastropubs or [value_food] in the [value_pricerange] price range .,3
is that a [value_food] ?,1
what is their address ?,1
that s all i needed today . thank you !,2
i would like a [value_food] food restaurant in the [value_area] .,3
only the best for my family . we'll take the [value_pricerange] [value_count] . book us a table for [value_count] at [value_time] on [value_day] .,5
let s try [value_food] instead .,3
"actually , i change my mind . i think i want to stick with [value_food] food after all . can you suggest any [value_count] thats in the [value_area] of town ?",3
can you try [restaurant_name] for [value_day] for [value_count] people at [value_time] instead ?,5
you are welcome ! it was great !,3
no but i would like the address and post code please .,1
thank you very much .,2
i would like to try [restaurant_name] .,3
[value_count] people on a [value_day] at [value_time] .,5
okay . how about [value_count] that serves [value_food] food ?,6
i would like it to be in the [value_area] area of town please .,3
"sounds good , can i get the phone number and postcode , please ?",1
that is all ! thank you !,2
i am looking for an [value_pricerange] restaurant in the [value_area],3
i'll take something [value_food] if you have it . i'll take the postcode of which every of those you recommend .,1
"no , that will do it . thanks for your help . have a nice day .",2
yes i am looking for an [value_pricerange] restaurant in the [value_area] of town .,3
"actually , i will not be needing a reservation just yet . could you verify the type of food [restaurant_name] serves ?",5
"no , that s it . you've been very helpful , thank you !",2
"hi , can you help me find a restaurant in the [value_area] area ?",3
i am in the mood for [value_food] food . which is your favorite ?,7
great . can you book a table for [value_count] on [value_day] at [value_time] ?,5
"terrific ! you are great , please send me all this information to my e mail , thanks .",2
no i have everything i wanted to know . thanks very much .,2
thanks . i will .,2
the restaurant should serve [value_food] food .,1
"i actually would just like their address , postcode and telephone number at this time .",1
that is all i need . thanks for all your help !,2
i am looking for a [value_food] restaurant that is [value_pricerange] -ly priced .,3
how about the center ?,4
please book a table for [value_count] at [value_time] on [value_day] at [restaurant_name] .,5
that is all . thank you very much !,2
i am looking for a place to eat in the [value_pricerange] price range serving [value_food] food .,3
the [value_area] .,3
yes . could you please make a reservation for [value_day] for [value_count] people at [value_time] ?,5
"excellent , that s all i need . thank you !",2
thanks again for all your help .,2
i am looking for an [value_pricerange] restaurant in the [value_area],3
i do not care what cuisine . i would like a table for [value_count] at [value_time] on [value_day] . i will need a reference number also .,5
"okay , wonderful . thank you for your help .",2
"no , you were extremely helpful . thank you . goodbye .",2
i am looking for an [value_food] restaurant in the [value_area] .,3
that might work . what is the price range of [restaurant_name] ?,1
"no that s ok , but could you give me their address and postcode please .",1
i believe that s all i need . thanks !,2
"yes , something in the [value_area] of town please ?",7
"no , price range does not matter .",3
"i am sorry , i do need something [value_pricerange] . is [restaurant_name] an [value_pricerange] place ?",7
"yes , i would like reservation for [value_count] people t [value_time] on [value_day] .",5
may i have the reference number ?,1
thank you so much .,2
"i am looking for a restaurant that offers [value_food] food in a [value_pricerange] price range , can you help me with that ?",3
let s try the [value_area] .,3
"for now , can i just get the phone number and postcode ?",1
"thanks , that s everything i need .",2
hi there . i heard someone mention the [restaurant_name] and i was wondering if you could give me some information for them .,1
i would like to make a reservation for [value_count] at [value_time] on [value_day] .,5
"no , that s all i need . thanks for your help .",2
are there any [value_food] restaurant -s in the [value_area] ?,3
sure . i would be interested in [value_food] restaurant -s also .,3
"please book this for [value_count] people , at [value_time] on [value_day] .",5
try [value_time] on [value_day] .,5
"no , that'll do it ! thanks !",2
yes i am looking to find a restaurant that is [value_pricerange] in the [value_area] of town .,3
what type of cuisine options do i have ?,1
"i would like [value_food] , i would need a table for [value_count] at [value_time] on [value_day]",5
how about [value_time] for [value_count] people on [value_day] ?,5
could i get that reference number ?,1
thanks ! that will be all for today .,2
could you recommend a [value_food] restaurant for me to try ?,3
"the [value_area] of the city , with a [value_pricerange] price range , please .",3
"no , i do not have a preference , i would like a reservation on [value_day] at [value_time] for [value_count] people .",5
how about for [value_time] ?,5
"no , thank you . that is all for today .",2
i want to eat [value_food] food .,3
i would prefer [value_pricerange] -ly priced please .,3
"no , thank you . can i have the postcode ?",2
thanks . that s all i need to today . goodbye !,2
i am looking for a [value_pricerange] restaurant in the [value_area] part of town .,3
how about [value_food] ? can you book me a table for [value_count] people at [value_time] on a [value_day] ?,5
thanks so much . i think that was all i needed . have a great day .,2
i am interested in [value_food] food .,3
"yes , please ! can i have a table for [value_count] at [restaurant_name] on [value_day] at [value_time] ?",5
"no , you've been very helpful . have a good day .",2
"hello , i am looking for a restaurant by the name of [restaurant_name] . do you know where it is ?",3
great . could you please book a table for [value_count] at [value_time] on [value_day] ?,5
i need a restaurant in the [value_area] [value_pricerange] priced,3
does it serve [value_food] food ?,1
what are they ?,1
i would like a table for [value_count] at [value_time] [value_day] at shanghi family restaurant please .,5
yes . i could eat at [value_time] perhaps .,5
"no , that s all i need . thanks for the help .",2
hello there . any suggestions on a good [value_food] restaurant located in the [value_area] of town ?,3
"actually , i do not need a reservation right now , but could you give me the address and phone number for the [restaurant_name] ?",5
"that s all , thank you for your help",2
thanks again . goodbye .,2
what restaurant -s in the [value_area] serve [value_food] cuisine ?,1
how about a place in the [value_pricerange] price range ?,4
"ok , can you book a table for [value_count] at [value_time] on [value_day] at [restaurant_name] ? i will need a reference number too , please .",5
thanks . looking forward to it .,2
"no , that is all . thank you .",2
i am looking for a restaurant serving modern american food in the [value_pricerange] price range .,3
yes how about [value_food] then ?,4
yes i reserve to [restaurant_name] restaurant .,5
hello . could you help me locate a good [value_pricerange] restaurant in the [value_area] of the city ?,3
do you have anyplace that serves [value_food] food ?,3
ok i will go with [value_food] food and pick the [restaurant_name] . thank you for your help .,3
"yes , please book a table for [value_count] people at [value_time] on [value_day] . thank you .",5
how about [value_time] ?,5
that is all ! thank you !,2
i am looking for a danish restaurant in the [value_area] of town .,3
no i think i would rather find something [value_food] in the center of town that is [value_pricerange] . can you help me with that ?,3
"sure , how about about [value_count] that serves [value_food] food ?",6
"no , i do not need further help . thank you .",2
could i have the phone number for the [value_food] restaurant ?,1
"that s all that i needed , thank you .",2
i am looking for a [value_pricerange] -ly priced [value_food] restaurant .,3
"yes , please . do they have any openings on [value_day] at [value_time] ? there will be [value_count] of us .",5
"hmm , well ok . how about at [value_time] instead ?",5
"no , that will be all .",3
good afternoon . i am trying to find an [value_food] restaurant to eat at . i would prefer something [value_pricerange] . can you help me ?,3
"i would like it to be in the center . i will need a number , address and postcode .",1
"thank you for all that information . yes , i would like to make a reservation .",2
"i have changed my mind , i do not want to book it yet . can you give me the area , address , and phone number , please ?",5
that s all i need today . thanks for your help !,2
"hi , i would like a restaurant inthe [value_area] of town which serves creative food please .",3
how about a restaurant that services [value_food] food ?,3
i do not care about the price range . can you just pick a good [value_count] for me ?,3
"yes , sounds good . please reserve a table for [value_count] at [value_time] on [value_day] .",5
is [value_time] on [value_day] available ?,5
nothing else . i look forward to the meal . thank you for all your help .,2
i am looking for something [value_pricerange] .,3
"that sounds great ! yes , please ! book a table for [value_count] people at [value_time] on [value_day] .",5
that will be all . thank you very much !,2
i am looking for a pricey [value_food] place . i wanna show off to my date .,3
how about the center ? i would like to book a table as well for [value_count] people at [value_time] on a [value_day] .,5
can you try booking it for [value_time] instead ?,5
hi there . i am hoping you could help me find a [value_food] restaurant in town .,3
yes i am looking for something [value_pricerange] -ly priced .,3
"yes , the [value_count] in the [value_area] please .",3
"yes , i would really appreciate that . can you get me a table for [value_count] on [value_day] at [value_time] ?",5
let s try a different restaurant .,3
"sure , when you find something , make the booking and give me the reference number .",5
"thank you , that is all i need . bye .",2
yes i would like to find [value_food] food in the center of town .,3
let s go with the [value_pricerange] [value_count] . i'll need a table for [value_count] on [value_day] at [value_time] please .,5
"can you try on [value_day] , [value_count] people , at [value_time]",5
"no , that s all i need . thanks for your help !",2
yes can you tell me something about [restaurant_name] ?,1
"no thank you , that s all i need .",2
are there any [value_food] restaurant -s in the [value_area] ?,3
i would like an [value_pricerange] restaurant please .,3
i want to make a booking at [restaurant_name] . it will be for [value_count] people on [value_day] at [value_time] .,5
can we make it for [value_time] ?,5
"thanks , that s all i need . goodbye .",2
yes i am looking for an [value_pricerange] [value_food] restaurant .,3
i do not . could you make a recommendation ?,3
what is the postcode for that restaurant ?,1
"not really , if you find a suitable [value_count] , please give me the postcode .",5
thanks ! that s all i need today . i appreciate your help .,2
indeed they have .,3
i am looking for a [value_pricerange] restaurant in the [value_area] part of town .,3
[value_food] please ! can you book a table for me for [value_count] people ? at [value_time] on [value_day] ?,5
"no , that will be all . thanks .",2
i am looking for a greek restaurant that is [value_pricerange] -ly [value_pricerange] .,3
can you book a table for [value_count] people at [value_time] on [value_day] ?,5
"yes , can i please get the reference number ?",1
"no , thanks for your help . bye .",2
i am looking for an [value_pricerange] restaurant in the [value_area] .,3
i would like to try [value_food] cuisine . i a table for [value_count] at [value_time] on [value_day] .,5
"yes , let s try for [value_time] instead .",5
"no , that was all i needed right now . thank you , goodbye .",2
"no , i just need the postcode and address please . is this an [value_food] restaurant ?",1
i am looking for a restaurant in the center of town that would serve [value_area] [value_food] food .,3
darn . will you look for a [value_food] restaurant in that area instead ?,3
can i get the address of [restaurant_name] ?,1
thank you very much for your help !,2
sounds great . please book a table for [value_count] at [value_time] on [value_day] and give me the reference number .,5
"no , i think that covers everything . thanks so much for your help !",2
i am interested in finding a restaurant that serves tuscan food . do you know of any in the [value_pricerange] price range ?,3
i am sorry . i am only looking for a place that is [value_pricerange] -ly priced and serves tuscan food .,3
"that okay . [value_food] does sound fine , actually . could you find a [value_pricerange] -ly priced [value_food] restaurant instead ?",3
can we book the table for [value_count] people at [value_time] on [value_day] please ?,5
"thank you , that s all i need !",2
"hi , i am looking for a [value_pricerange] restaurant in the town [value_area] please .",3
"i prefer creative food , please .",3
how about [value_count] that serves [value_food] food ?,6
the [restaurant_name] sounds good . can you reserve a table for [value_count] on [value_day] ? let s say . . [value_time] for the time if it s available .,5
"try [value_time] , okay ?",5
could you give me information about a restaurant called [restaurant_name] ?,1
could you book a table for me there on [value_day] ?,5
there will be [value_count] of us and we would like to eat at [value_time] .,5
"sure , how about [value_time] ?",5
no thank you . have a great day !,2
"i am looking for an [value_food] restaurant , preferably in the [value_area] of town .",3
sure please book a table there fore [value_count] people at [value_time] on [value_day],5
no that s all i needed . thank you !,2
i am looking for a restaurant in the [value_pricerange] price range serving [value_food] food .,3
"i would like a restaurant on the [value_area] end of town , please .",3
"hi , i am looking for a [value_pricerange] [value_food] restaurant please .",3
"no , no preference . please just find me [value_count] that has a table available for [value_count] people at [value_time] on [value_day] .",5
thank you very much for your help !,2
"no reservation right now , i just need the phone number .",5
no that s all i needed . thank you !,2
i would like something in the [value_area] if possible .,3
"that sounds nice ! can i just get their phone number , address , and postcode ?",1
"no , that s everything . thanks for the help !",2
i would like [value_food] please .,3
i would like to book [restaurant_name] for [value_count] people at [value_time] on [value_day] please .,5
"great , thanks for your help .",2
"no , that will be everything today . thank you .",2
i am looking for information about a restaurant named the [restaurant_name] .,1
could you book me a table for [value_count] on [value_day] at [value_time] ?,5
that is all thank you !,2
"i am looking for a [value_food] restaurant , in the [value_pricerange] price range .",3
"[restaurant_name] sounds good . i'll need a table for [value_count] on [value_day] at [value_time] , please .",5
great ! thanks a lot . thats all i will be needing . have a good day . bye !,2
yes i am looking for information on michael house cafe .,1
that will be all . thank you very much .,2
i need a restaurant . something [value_pricerange] and [value_food] .,3
"i would like to go to the [value_area] , please .",3
"okay , that sounds good . i need a table for [value_count] at [value_time] on [value_day] .",5
"okay , will you try [value_time] instead ?",5
"that s all , thanks . goodbye .",2
i am looking for a restaurant serving persian food in the [value_pricerange] price range .,3
how about any restaurant in the [value_area] ?,3
"yes please , for [value_count] people t [value_time] on [value_day] . thank you .",5
that s awesome . thanks that s all i need !,2
"yes please , could you book me a table for [value_count] people on [value_day] at [value_time] .",5
can we try the same day for [value_time] ?,0
"no , that s all i needed . thanks for your help !",2
i am looking for a particular restaurant called [restaurant_name] .,3
yes please [value_count] people at [value_time] on [value_day],5
no that s all i needed . thank you !,2
no . choose [value_count] for me .,3
thank you . that s all i need right now . bye .,2
"yes , please ! i would like a table on [value_day] for [value_count] people at [value_time] .",5
could you try booking for [value_time] instead ?,5
that is all ! thank you for your help !,2
"hi , i am looking for a [value_pricerange] place in the [value_area] of town to eat . can you help ?",3
that would be fine . can i have their postcode and phone number please ?,1
thank you for your help today .,2
i need to find a restaurant in the [value_area] part of town . it should be in the [value_pricerange] price range .,3
i would prefer the [value_food] [value_count] .,3
can i get the postcode for it ?,1
"yes , please . thank you very much .",2
"i do not want to just yet , thanks .",2
i am looking for an [value_food] restaurant on the [value_area] side of town .,3
great ! i would like a table at [restaurant_name] for [value_count] people at [value_time] on [value_day] .,5
great . that s all i need !,3
i need to find a restaurant call [restaurant_name] .,3
perhaps you could try searching for [restaurant_name] ?,7
that s all i need . thank you .,2
i am looking for information on the [restaurant_name] .,1
can i get the address and phone number ?,1
"on second thought , could you book me a table for [value_count] people at [value_time] on [value_day] ?",5
"sure , please try for [value_time] [value_day] . still [value_count] people . thanks .",5
i need help finding an [value_pricerange] place to eat in the [value_area] please .,3
i would like to book the [restaurant_name] for [value_count] at [value_time] on [value_day] .,5
"no , i think that covers it . thanks so much for your help !",2
"yes , i am looking for a [value_pricerange] place to eat on the [value_area] side . do you know of anything ?",3
yes . please give me the telephone number .,1
"thanks ! now could you make a reservation for me ? i need a table for [value_count] on [value_day] at [value_time] , please .",5
how about [value_time] ?,5
i am going on a date and need an [value_pricerange] restaurant on the [value_area] side of town .,3
"no , i really prefer [value_food] if possible .",3
"aww , that s too bad . hmm , can you see if there is an [value_pricerange] [value_food] restaurant on the [value_area] side ?",3
that sounds good . i want to book a table for [value_count] people on [value_day] at [value_time] .,5
"no that was all i needed , thank you so much , goodbye !",2
"hi , i am looking for a restaurant called [restaurant_name] , can you help me find it ?",3
"no , i wanted to make a reservation there .",5
just [value_count] person on [value_day] at [value_time],5
i am looking for a restaurant in the [value_pricerange] price range . it should serve sri lankan food .,3
i was really hoping for sri lankan .,3
how about [value_food] ?,4
are they all listed as [value_pricerange] ?,1
"okay , thanks . that will do it for today .",2
i do not really have a preference . can you recommend a restaurant ? as long as it serves [value_pricerange] [value_food] food i'll be happy .,3
yes please reserve a table for [value_count] people at [value_time] on [value_day],5
"no , that s all for today . goodbye !",2
i want to eat someplace with unusual food . price is no object . what can you suggest ?,1
"hmm . i am not sure . it needs to be [value_pricerange] , and i really had my heart set on unusual .",3
then find a [value_food] [value_count] .,3
"i would like [value_count] in the [value_area] area , please .",3
that sounds good ! can you book a table for [value_count] people at [value_time] on [value_day] ?,5
i think that is all i need . thank you .,2
i am looking for [value_food] food on the [value_area] side of the city .,3
"no preference , please .",3
"i wanted the reservation for [value_time] , is that what you booked for me ?",5
"no , that is all i need . thank you !",2
are there any restaurant -s that serve proper [value_food] food in town ?,3
"[value_area] , if possible .",3
"will you give me the phone number , address , and postcode for [restaurant_name] , please ?",1
i am looking for a place to dine on the [value_area] side of town . please find a place that s in the [value_pricerange] price range .,3
do you have a favorite you could recommend ? i will need the phone and postcode and food type also please .,1
"no , that will be it . thank you for your help .",2
i am looking for a place to eat in the [value_area] that is [value_pricerange] .,3
how about an [value_pricerange] [value_food] place ? i would like a reservation for [value_day] .,5
i would like a table at [value_time] on [value_day] for [value_count] people .,5
do they have an opening at [value_time] on [value_day] for [value_count] people ?,5
"that s all , thanks . goodbye .",2
oh no . can you get us in at [value_time] then ?,5
thanks ! that s all i needed today goodbye !,2
i would like to find a restaurant named [restaurant_name] . do you know of that restaurant ?,3
can you give me the postcode for it please ?,1
"that will be all , thanks . goodbye !",2
is there a [value_pricerange] restaurant in the [value_area] of town ?,3
"yes , i would like a [value_pricerange] -ly priced restaurant .",3
please give me their address and postcode .,1
no thank you . you have helped me tremendously and i have everything i need to know . thanks and have a good day .,2
i am looking for a [value_food] restaurant on the [value_area] side .,3
could you recommend [value_count] of the [value_pricerange] ones ?,3
yes . i need a booking for [value_day] at [value_time] for [value_count] people .,5
what fancy restaurant -s are there on the [value_area] side of town ?,1
do any of them serve [value_food] food ? that s what i am in the mood for .,1
"yes , the address , postcode and phone number would help .",1
thank you very much for your help !,2
"no , that s all i need . thanks .",2
"yes , what restaurant -s are there ?",1
i would like to book [value_count] people at [value_time] on [value_day] .,5
"that is all , thank you very much .",2
i am looking for a [value_pricerange] place to dine . i want it to be on the [value_area] side of town .,3
shucks . no polish ?,7
"no , but could you please give me the address and the phone number ?",1
"no , that s all i need . thank you for your help !",2
i am looking for an [value_pricerange] [value_food] restaurant .,3
great yeah that sounds great can you book a table for [value_count] people at [value_time] on [value_day] ?,5
"no , that is all . thank you so much for your help .",2
i am looking for a restaurant serving barbeque in the [value_area] of town .,3
can you find a restaurant that has asian or oriental food ?,3
could you give me their postcode please ?,1
thanks all i need today . thank you .,2
i would like to find an [value_pricerange] restaurant in the [value_area] of town please .,3
i do not care . choose a restaurant you recommend !,3
sounds great . could you book me a table for [value_count] on [value_day] at [value_time] ?,5
may i have the booking reference number ?,5
thank you very much for your help .,2
are you able to find me a [value_food] [value_pricerange] restaurant ?,3
"i like the sound of [restaurant_name] , could you give me their postcode , address and phone number ?",1
"hi , i am looking for an [value_pricerange] restaurant in the [value_area] .",3
that will not be necessary . can you just give me their address and phone ?,1
nope . i am all set . thanks again .,2
i am looking for an australian place to dine in . i need it to be [value_pricerange] .,3
"no , that should do it . thanks for the help !",2
"i would prefer cantonese , but i would be up for [value_food] if necessary .",3
how about an [value_food] place for [value_count] people at [value_time] on wedensday,5
that would be great can you make that reservation ?,5
that s all i needed . thanks !,2
what do we have to eat in the [value_pricerange] [value_food] food range ?,1
nothing in the [value_area] ?,7
yes . i would like a table for [value_count] person at [value_time] on [value_day] .,5
that s all . thanks for your assistance .,2
i am needing a place to dine . it needs to be an [value_pricerange] brazilian place .,3
"[value_food] food , then .",3
"all right , i'll try that . i need a reservation for a party of [value_count] at [value_time] on [value_day] .",5
"sure , can i get the postcode , phone number , and address for [restaurant_name] , please ?",1
no thank you ! ! thank you for all your help .,2
can you locate an [value_pricerange] restaurant in the [value_area] ?,3
i prefer [value_food] food thanks .,3
that sounds good . can i have the postcode and address please ?,1
that s it . thanks .,2
i am looking for an [value_food] restaurant in the [value_pricerange] price range .,3
"phone number and postcode , please .",1
"thank you , that s all i need today . you've been a great help goodbye !",2
"i am in the mood for swedish food , but i want something in the [value_area] of town .",3
could you recommend [value_count] ?,3
yes please ! i would like a table for [value_count] on [value_day] at [value_time] .,5
that s all . thank you !,2
i am looking for a place to dine that serves [value_food] food . i want it to be [value_pricerange] .,3
"i would like to dine in the center of town , please .",3
could you give me the address and phone number for [restaurant_name] please .,1
i wish you could provide their phone number . but other than that you've given me everything i need to know . thank you goodbye .,2
would you have something [value_food] ?,7
"no , that is all . you have been very helpful . thanks . bye .",2
i am looking for a restaurant called [restaurant_name] .,3
"that s all i needed , thank you .",2
"excellent ! i do not need a table right now , but if you could give me the address and phone number , that would be great .",5
no thanks . that would be all for today . have a nice day .,2
i am looking for a place to dine that serves [value_food] food in the [value_area] .,3
"yes , i am willing to go to a different area for [value_food] food .",3
how about an [value_food] restaurant instead on the [value_area] ?,3
yes please . can i get the postcode .,1
"not the phone number , the postcode , please .",1
thank you very much . i am all set . bye .,2
i am looking for a place to dine in the [value_pricerange] price range in the [value_area] .,3
is there [value_count] with unusual food ?,3
"ok , tell me whats available in [value_food] food .",1
i am looking for a [value_food] restaurant that s [value_pricerange] .,3
"yes , please ! i need a table for [value_count] on [value_day] at [value_time] .",5
how about [value_time] on [value_day] instead ?,5
no . that will be everything today . thank you .,2
i am looking for a [value_food] restaurant in the [value_pricerange] price range .,3
what about [value_food] ?,4
"any [value_count] of them will be fine , if you could find [value_count] available for [value_count] people at [value_time] on [value_day] please .",5
i am looking for [value_food] food . i want the restaurant to be in the town [value_area] .,1
it does not matter . please give me the phone number to the restaurant you choose .,1
